Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
FT	name	1.2		TRUE	FALSE		[Ch]	Inheritable		
Parent	dictionary	1.2		FALSE	FALSE				[FieldTx,FieldBtn,FieldCh,FieldSig,Field]	
Kids	array	1.2		FALSE	FALSE				[ArrayOfFields]	
T	string-text	1.2		TRUE	FALSE					
TU	string-text	1.3		FALSE	FALSE					
TM	string-text	1.3		FALSE	FALSE					
Ff	integer	1.2		FALSE	FALSE			Inheritable		
V	string-text	1.2		FALSE	FALSE			Inheritable		
DV	string-text	1.2		FALSE	FALSE			Inheritable		
AA	dictionary	1.2		FALSE	FALSE				[AddActionFormField]	
DA	string	1.2		TRUE	FALSE			Inheritable		
Q	integer	1.2		FALSE	FALSE	0	[0,1,2]			
TI	integer	1.2		FALSE	FALSE			Inheritable		
